a,b
"(:Customer {gender: ""Nam"",name: ""Nguyễn Văn A"",customer_id: 1,email: ""nguyenvana@email.com"",age: 30})","(:Product {image: ""\""dt.jpg\"""",price: 10000000,product_id: 1,name: ""Điện thoại XYZ"",category: ""Điện thoại"",brand: ""XYZ""})"
"(:Customer {gender: ""Nam"",name: ""Nguyễn Văn A"",customer_id: 1,email: ""nguyenvana@email.com"",age: 30})","(:Product {image: ""\""laptop.jpg\"""",price: 20000000,product_id: 2,name: ""Laptop ABC"",category: ""Laptop"",brand: ""ABC""})"
"(:Customer {gender: ""Nam"",name: ""Nguyễn Văn A"",customer_id: 1,email: ""nguyenvana@email.com"",age: 30})","(:Product {image: ""\""tainghe.jpg\"""",price: 2000000,product_id: 3,name: ""Tai nghe XYZ"",category: ""Phụ kiện"",brand: ""XYZ""})"
"(:Customer {gender: ""Nam"",name: ""Nguyễn Văn A"",customer_id: 1,email: ""nguyenvana@email.com"",age: 30})","(:Product {image: ""\""laptop2.jpg\"""",price: 15000000,product_id: 4,name: ""Máy tính bảng ABC"",category: ""Máy tính bảng"",brand: ""ABC""})"
"(:Customer {gender: ""Nữ"",name: ""Trần Thị B"",customer_id: 2,email: ""tranthib@email.com"",age: 25})","(:Product {image: ""\""dt.jpg\"""",price: 10000000,product_id: 1,name: ""Điện thoại XYZ"",category: ""Điện thoại"",brand: ""XYZ""})"
"(:Customer {gender: ""Nữ"",name: ""Trần Thị B"",customer_id: 2,email: ""tranthib@email.com"",age: 25})","(:Product {image: ""\""laptop.jpg\"""",price: 20000000,product_id: 2,name: ""Laptop ABC"",category: ""Laptop"",brand: ""ABC""})"
"(:Customer {gender: ""Nữ"",name: ""Trần Thị B"",customer_id: 2,email: ""tranthib@email.com"",age: 25})","(:Product {image: ""\""tainghe.jpg\"""",price: 2000000,product_id: 3,name: ""Tai nghe XYZ"",category: ""Phụ kiện"",brand: ""XYZ""})"
"(:Customer {gender: ""Nữ"",name: ""Trần Thị B"",customer_id: 2,email: ""tranthib@email.com"",age: 25})","(:Product {image: ""\""laptop2.jpg\"""",price: 15000000,product_id: 4,name: ""Máy tính bảng ABC"",category: ""Máy tính bảng"",brand: ""ABC""})"
"(:Customer {gender: ""Nam"",name: ""Lê Văn C"",customer_id: 3,age: 35,email: ""levanc@email.com""})","(:Product {image: ""\""dt.jpg\"""",price: 10000000,product_id: 1,name: ""Điện thoại XYZ"",category: ""Điện thoại"",brand: ""XYZ""})"
"(:Customer {gender: ""Nam"",name: ""Lê Văn C"",customer_id: 3,age: 35,email: ""levanc@email.com""})","(:Product {image: ""\""laptop.jpg\"""",price: 20000000,product_id: 2,name: ""Laptop ABC"",category: ""Laptop"",brand: ""ABC""})"
"(:Customer {gender: ""Nam"",name: ""Lê Văn C"",customer_id: 3,age: 35,email: ""levanc@email.com""})","(:Product {image: ""\""tainghe.jpg\"""",price: 2000000,product_id: 3,name: ""Tai nghe XYZ"",category: ""Phụ kiện"",brand: ""XYZ""})"
"(:Customer {gender: ""Nam"",name: ""Lê Văn C"",customer_id: 3,age: 35,email: ""levanc@email.com""})","(:Product {image: ""\""laptop2.jpg\"""",price: 15000000,product_id: 4,name: ""Máy tính bảng ABC"",category: ""Máy tính bảng"",brand: ""ABC""})"
